stats_player_id,player_name,player_name_short,team_name,match_status
c1qjrqugtxx4696nfmxegiihg,Abdullla Alhammadi,Abdullla Mohamed Ahmed,Al Jazira Club,confirmed
9549vlcoyequb129gjz6flus4,Favour Inyeka Ogbu,Favour,Al Wahda FC,confirmed
eptlufu8cqw19z8kzl2gwnmne,Khalid Al Blooshi,Khalid Mohammed Husain,Dibba FC,confirmed
3wkeu872g8nhcivmbpjckgydw,Nemanja ÄekoviÄ‡,Nemanja,Bani Yas Club,confirmed
4k0i6aiusn16hxs20cyzcvuvo,Yousif Almarzooqi,Yousif Ahmed Saeed Ebrahim,Al Dhafra FC,confirmed
95in244suef8obvprnenbdc7o,Mohammad Mehdi Mohebi,Mohammad,Al Ittihad Kalba,confirmed
4vrlfiffwmiqog82uz1vmh89g,Koffi Daniel Koblan,Koffi,Al Jazira Club,confirmed
2w9jg2zf4d0zeq4sbtapctyxg,Sergio DamiÃ¡n GarcÃ­a GraÃ±a,DamiÃ¡n,Shabab Al Ahli Club,confirmed
avch70l19ne8cch030n538xxx,Khaled Al Senaani,Khaled Saif,Al Wasl Club,confirmed
cwesoq5ph3pjbme0swh2dft3o,Mohammad Rasoul Ghorbani,Mohammad,Al Wahda FC,confirmed
497cy3s5ck9f5h563c4aixfdg,Kaiky,Kaiky,Shabab Al Ahli Club,confirmed
c1z1f7584vaiwoxa29n9v3ytw,Reza Ghandipour,Reza,Al Wahda FC,confirmed
catdw0zk9fv2m1w0lhr25hjo,Mohamed Khalafalla Osman,Mohamed,Dibba FC,confirmed
8rfnqwi5u9clr0166pemylhat,Andrigo,Andrigo,Dibba FC,confirmed
6mclp8b0uafvoc0g54pj22o5x,Daniel Sartori Bessa,Daniel,Al Bataeh Club,confirmed
d890hrnho89cc31hmse4f6rqh,Khamis Al Hammadi,Khamis Saleh Ismaeil Khalil,Bani Yas Club,confirmed
c7ktanw027g69x00oqjpd2ntg,Mateus Henrique,Mateus Henrique,Shabab Al Ahli Club,confirmed
exeesurrem723tv39817hwrxm,Jonatas Santos,Jonatas,Al Nasr SC,confirmed
2n4g7y2c53fqlgr2qtjizb45x,Ahmed Shambih,Ahmed Mohamed Shambih Bilal,Al Nasr SC,confirmed
7fzs6m29vfc6a3qx02qojifl6,Jadsom,Jadsom Meemyas,Al Wahda FC,confirmed
6bqxxfxe9qymwmh0lg7n4biz9,Abdulla Al Tamimi,Abdulla Mohammad Ismail Abdulghafoor,Al Nasr SC,confirmed
9mehciic0e1w99g55xavfg0oa,Cho Yu-Min,Yu-Min,Sharjah FC,confirmed
dqo8rer7fb16qhaa0x7pchlas,Midana CassamÃ¡,Midana Bigna,Dibba FC,confirmed
autqs49rcwgi0l7faajf2h5w4,Nabil Aberdin,Nabil,Al Jazira Club,confirmed
2xba9p5cocj599cltnabjes45,Dino HotiÄ‡,Dino,Ajman Club,confirmed
bcqbdsfa08qasxqv4fzwrslck,Amirhossein Samdaliri,Amirhossein,Al Ittihad Kalba,confirmed
bjefbadz7499zvi6nd1t4zckq,Renan,Renan Victor,Shabab Al Ahli Club,confirmed
ce9djaiyzmje3na7v9yqxs2s4,Breno Cascardo,Breno,Shabab Al Ahli Club,confirmed
14y4rnp5els821j8kqrc8xixg,Abdelaziz Al Balushi,Abdelaziz Mohamed Abdulla,Al Wahda FC,confirmed
cl2gp90m3iz2dt0sn0g17m9jp,Sasa Ivkovic,Sasa,Al Wahda FC,confirmed
c04vl339us5dsjpnxt9zgfu5m,Lucas Pimenta,Lucas,Al Wahda FC,confirmed
1ca5muywraqithe65hxwfhlhw,Luiz Turatto,Luiz Guilherme Turatto,Bani Yas Club,confirmed
bjqp39oaw6jvi2gznwi7hzs44,Rikelme,Rikelme,Shabab Al Ahli Club,confirmed
2rrpb4592ynfv5wbqsrtv9ul0,Sultan Al Saadi,Sultan Saleh,Sharjah FC,confirmed
etrmnx0rnure6elbksackgowk,Musab Karam,Musab Ibrahim,Ajman Club,confirmed
